index,seriesName,network,season,title,imdb,engagement,dateAired,run.time,format,monster.name,monster.gender,mainMonsterGender,monster.type,monster.subtype,monster.species,monster.amount,caught.fred,caught.daphnie,caught.velma,caught.shaggy,caught.scooby,caught.other,num.caught,caught.not,caught,captured.fred,captured.daphnie,captured.velma,captured.shaggy,captured.scooby,num.captured,unmask.fred,unmask.daphnie,unmask.velma,unmask.shaggy,unmask.scooby,unmask.other,settingTerrain,suspects.amount,non-suspect,arrested,culprit.gender,culprit.amount,motive,if.it.wasnt.for,and.that,number.of.snacks,split.up,another.mystery,set.a.trap,jeepers,jinkies,my.glasses,just.about.wrapped.up,zoinks,groovy,scooby.doo.where.are.you,rooby.rooby.roo
12,"Scooby Doo, Where Are You!",CBS,1,"Scooby-Doo and a Mummy, Too",8.2,358,11/29/1969,21,TV Series,Mummy of Ankha,Male,Male,Undead,Mummy,Human,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,1,FALSE,TRUE,Male,1,Theft,NULL,NULL,1 box,1,0,0,0,0,0,0,6,1,0,3
13,"Scooby Doo, Where Are You!",CBS,1,Which Witch is Which,8.4,356,12/6/1969,21,TV Series,"Zombie,Witch","Male,Female",Male,"Undead,Magician","Zombie,Witch","Human,Human",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Swamp,2,FALSE,TRUE,"Male,Male",2,Theft,NULL,NULL,0,0,0,0,0,0,0,0,3,0,0,0
14,"Scooby Doo, Where Are You!",CBS,1,Go Away Ghost Ship,8.1,331,12/13/1969,22,TV Series,Ghost of Redbeard,Male,Male,Ghost,Pirate,Human,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Ocean,2,FALSE,TRUE,Male,1,Theft,NULL,NULL,0,0,0,0,0,0,0,0,5,0,1,0
15,"Scooby Doo, Where Are You!",CBS,1,Spooky Space Kook,8.4,372,12/20/1969,21,TV Series,Spooky Space Kook,Male,Male,Extraterrestrial,Phantom,Alien,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,1,TRUE,TRUE,Male,1,Competition,NULL,NULL,0,1,0,0,0,0,0,0,8,0,0,0
16,"Scooby Doo, Where Are You!",CBS,1,A Night of Fright Is No Delight,8.7,403,1/10/1970,21,TV Series,"Green Ghost,Green Ghost","Male,Male",Male,"Ghost,Ghost","Phantom,Phantom","Human,Human",2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,3,FALSE,TRUE,"Male,Male",2,Inheritance,NULL,NULL,1,0,0,0,0,0,0,0,3,0,0,0
17,"Scooby Doo, Where Are You!",CBS,1,That's Snow Ghost,8,328,1/17/1970,21,TV Series,Snow Ghost,Male,Male,Ghost,Snow,Yeti,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Snow,3,FALSE,TRUE,Male,1,Theft,NULL,NULL,a couple,0,0,0,0,0,1,0,4,0,0,0
18,"Scooby Doo, Where Are You!",CBS,2,Nowhere to Hyde,8.3,322,9/12/1970,21,TV Series,Ghost of Mr. Hyde,Male,Male,Ghost,Split-Personality,Human,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Forest,2,FALSE,TRUE,Male,1,Theft,NULL,NULL,1 box,0,0,0,0,0,0,0,3,0,0,0
19,"Scooby Doo, Where Are You!",CBS,2,Mystery Mask Mix-Up,7.8,312,9/19/1970,21,TV Series,"Ghost of Zen Tuo,Scare Pair,Scare Pair","Male,Male,Male",Male,"Ghost,Ghost,Ghost","Zombie,Zombie,Zombie","Human,Human,Human",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,1,FALSE,TRUE,Male,1,Smuggling,NULL,NULL,1,1,0,1,0,0,0,0,3,0,0,0
20,"Scooby Doo, Where Are You!",CBS,2,Scooby's Night with a Frozen Fright,7.7,301,9/26/1970,21,TV Series,Caveman,Male,Male,Ancient,Caveman,Human,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Urban,2,FALSE,TRUE,Male,1,Theft,those meddling kids,NULL,1,0,0,0,0,0,0,0,7,0,0,0
21,"Scooby Doo, Where Are You!",CBS,2,"Jeepers, It's the Creeper",8.5,347,10/3/1970,21,TV Series,Creeper,Male,Male,Ghost,Phantom,Human,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Rural,2,FALSE,TRUE,Male,1,Theft,NULL,NULL,1,0,0,0,0,0,1,0,7,0,0,0
